squareCoordinates upper-left corner

square:0, x:0, y:0
square:1, x:32, y:0
square:2, x:65, y:0
square:3, x:97, y:0
square:4, x:130, y:0
square:5, x:162, y:0
square:6, x:195, y:0
square:7, x:227, y:0
square:8, x:260, y:0
square:9, x:292, y:0
square:10, x:325, y:0
square:11, x:357, y:0
square:12, x:390, y:0
square:13, x:422, y:0
square:14, x:455, y:0
square:15, x:488, y:0
square:16, x:520, y:0
square:17, x:553, y:0
square:18, x:585, y:0
square:19, x:618, y:0
square:20, x:650, y:0
square:21, x:683, y:0
square:22, x:715, y:0
square:23, x:748, y:0
square:24, x:780, y:0
square:25, x:813, y:0
square:26, x:845, y:0
square:27, x:878, y:0
square:28, x:910, y:0
square:29, x:943, y:0
square:30, x:0, y:32
square:31, x:32, y:32
square:32, x:65, y:32
square:33, x:97, y:32
square:34, x:130, y:32
square:35, x:162, y:32
square:36, x:195, y:32
square:37, x:227, y:32
square:38, x:260, y:32
square:39, x:292, y:32
square:40, x:325, y:32
square:41, x:357, y:32
square:42, x:390, y:32
square:43, x:422, y:32
square:44, x:455, y:32
square:45, x:488, y:32
square:46, x:520, y:32
square:47, x:553, y:32
square:48, x:585, y:32
square:49, x:618, y:32
square:50, x:650, y:32
square:51, x:683, y:32
square:52, x:715, y:32
square:53, x:748, y:32
square:54, x:780, y:32
square:55, x:813, y:32
square:56, x:845, y:32
square:57, x:878, y:32
square:58, x:910, y:32
square:59, x:943, y:32
square:60, x:0, y:65
square:61, x:32, y:65
square:62, x:65, y:65
square:63, x:97, y:65
square:64, x:130, y:65
square:65, x:162, y:65
square:66, x:195, y:65
square:67, x:227, y:65
square:68, x:260, y:65
square:69, x:292, y:65
square:70, x:325, y:65
square:71, x:357, y:65
square:72, x:390, y:65
square:73, x:422, y:65
square:74, x:455, y:65
square:75, x:488, y:65
square:76, x:520, y:65
square:77, x:553, y:65
square:78, x:585, y:65
square:79, x:618, y:65
square:80, x:650, y:65
square:81, x:683, y:65
square:82, x:715, y:65
square:83, x:748, y:65
square:84, x:780, y:65
square:85, x:813, y:65
square:86, x:845, y:65
square:87, x:878, y:65
square:88, x:910, y:65
square:89, x:943, y:65
square:90, x:0, y:97
square:91, x:32, y:97
square:92, x:65, y:97
square:93, x:97, y:97
square:94, x:130, y:97
square:95, x:162, y:97
square:96, x:195, y:97
square:97, x:227, y:97
square:98, x:260, y:97
square:99, x:292, y:97
square:100, x:325, y:97
square:101, x:357, y:97
square:102, x:390, y:97
square:103, x:422, y:97
square:104, x:455, y:97
square:105, x:488, y:97
square:106, x:520, y:97
square:107, x:553, y:97
square:108, x:585, y:97
square:109, x:618, y:97
square:110, x:650, y:97
square:111, x:683, y:97
square:112, x:715, y:97
square:113, x:748, y:97
square:114, x:780, y:97
square:115, x:813, y:97
square:116, x:845, y:97
square:117, x:878, y:97
square:118, x:910, y:97
square:119, x:943, y:97
square:120, x:0, y:130
square:121, x:32, y:130
square:122, x:65, y:130
square:123, x:97, y:130
square:124, x:130, y:130
square:125, x:162, y:130
square:126, x:195, y:130
square:127, x:227, y:130
square:128, x:260, y:130
square:129, x:292, y:130
square:130, x:325, y:130
square:131, x:357, y:130
square:132, x:390, y:130
square:133, x:422, y:130
square:134, x:455, y:130
square:135, x:488, y:130
square:136, x:520, y:130
square:137, x:553, y:130
square:138, x:585, y:130
square:139, x:618, y:130
square:140, x:650, y:130
square:141, x:683, y:130
square:142, x:715, y:130
square:143, x:748, y:130
square:144, x:780, y:130
square:145, x:813, y:130
square:146, x:845, y:130
square:147, x:878, y:130
square:148, x:910, y:130
square:149, x:943, y:130
square:150, x:0, y:162
square:151, x:32, y:162
square:152, x:65, y:162
square:153, x:97, y:162
square:154, x:130, y:162
square:155, x:162, y:162
square:156, x:195, y:162
square:157, x:227, y:162
square:158, x:260, y:162
square:159, x:292, y:162
square:160, x:325, y:162
square:161, x:357, y:162
square:162, x:390, y:162
square:163, x:422, y:162
square:164, x:455, y:162
square:165, x:488, y:162
square:166, x:520, y:162
square:167, x:553, y:162
square:168, x:585, y:162
square:169, x:618, y:162
square:170, x:650, y:162
square:171, x:683, y:162
square:172, x:715, y:162
square:173, x:748, y:162
square:174, x:780, y:162
square:175, x:813, y:162
square:176, x:845, y:162
